category, name, description, url
"", "eRez Life", "Select your housing and meal plan", "https://alfredstate.erezlife.com/"
"", "Starfish", "Schedule meetings with faculty", "https://alfredstate.starfishsolutions.com/starfish-ops"
"", "DegreeWorks", "View your progress towards graduating", "https://alf.degreeworks.suny.edu/"
"", "Tutor Request", "Schedule a tutoring apointment", "https://alfredstate.mywconline.com/"
"", "Clockwork", "Schedule a proctored test", "https://clockwork.alfredstate.edu/ClockWork/custom/misc/home.aspx"
"", "Additional Academic Resources", "Directory providing various documents and resources for academic success"
"", "Alfred Catalogue", "List of courses and programs offered by Alfred State", "https://catalog2.alfredstate.edu/"
"", "Fitness Center Membership", "Sign up for fitness center access", "https://federation.ngwebsolutions.com/sp/startSSO.ping?PartnerIdpId=https://sts.windows.net/9847450c-4365-4e32-b26e-b73baa0ea04b/&SpSessionAuthnAdapterId=alfredstateDF&TargetResource=https%3a%2f%2fdynamicforms.ngwebsolutions.com%2fSubmit%2fStart%2f6dcc23ee-5211-4d13-9c2c-d3df93c8ff9c"
"", "Intramurals", "View athletic and socially engaging activities offered by Alfred State", "https://pioneerlink.alfredstate.edu/organization/intramurals"
"", "Outlook", "Check your Alfred State email via Outlook", "https://webmail.alfredstate.edu/"
"", "Order Your Books", "", "https://banner.alfredstate.edu/BannerExtensibility/customPage/page/alf_bookstore_auth"
"", "Print Center", "Dashboard to manage print jobs"
"", "Pharos Packages", "Download software and drivers to use campus printers", "https://alfredstateedu14176.sharepoint.com/sites/PharosPackages"
"", "Pharos Help", "Guide to using campus printers", "https://alfredstate.teamdynamix.com/TDClient/277/Portal/KB/ArticleDet?ID=10714"
"", "University Police", "View information about university police", "https://www.alfredstate.edu/university-police"
"", "Title IX", "Read about title IX", "https://www.alfredstate.edu/title-ix"
"", "988 Hotline", "Suicide and crisis hotline", "988lifeline.org"
"", "ScholarshipUniverse", "Apply for scholarships and view offers through Alfred State", "https://alfredstate.scholarshipuniverse.com/"
"", "NYS Scholarships", "View grants and scholarships offered by New York State", "https://hesc.ny.gov/find-aid/nys-grants-scholarships"
"", "Formal Academic Complaint Form", "PDF form for filing academic complaints.", "https://www.alfredstate.edu/sites/default/files/2025-12/academic-complaint-form.pdf"
"", "Rental Cars", "Rent vehicles located on your campus with low rates that include fuel", "https://www.enterprisecarshare.com/us/en/programs/university/alfred-state.html"
"", "Campus Parking Information", "", "https://www.alfredstate.edu/university-police/parking-campus"
"", "Financial Aid Offers", "Accept and decline Federal Direct Loans offered", "https://banner.alfredstate.edu/StudentSelfService/ssb/financialAid#!/dashboard/home/2627"
"", "Bannerweb", "Dashboard for student information", "https://banner.alfredstate.edu/StudentSelfService/ssb/studentProfile"
"", "Health Portal", "Portal for Alfred State health and wellness services", "https://alfredst.studenthealthportal.com/"
"", "Excelsior Scholarship Application", "", "https://hesc.ny.gov/find-aid/nys-grants-scholarships/excelsior-scholarship-program"
"", "FASFA Application", "", "https://studentaid.gov/h/apply-for-aid/fafsa"
"", "NYS Tap Application", "", "https://www.tap.hesc.ny.gov/totw/"
"", "JobLink", "View employment and internship opportunities", "https://alfredstate-csm.symplicity.com/students/?signin_tab=0"
"", "Skills First", "AI powered resume builder", "https://skillsfirst.com/organizations/alfredstate"
"", "Campus Store", "Shop textbooks and supplies from the campus store", "https://www.alfredstatebookstore.com/home"
"", "Financial Aid Guides", "", "https://alfredstateedu14176.sharepoint.com/sites/Finances"
"", "Schedule Planner", "Register for classes and pick your schedule for the upcoming semester", "https://alfredstate.collegescheduler.com/"
"", "Veteran Certification Form", "Get benefits for military service", "https://federation.ngwebsolutions.com/sp/ACS.saml2"
"", "Veteran Services and Benefits", "View veteran benefits offered by Alfred State", "https://www.alfredstate.edu/admissions/applying-alfred/veterans-military"
"", "RAVE Alerts", "Be informed on emergencies via text", "https://www.getrave.com/login/alfredstate"
"", "Pioneer Link", "Find events, organizations, and news of what's happening at Alfred State", "https://pioneerlink.alfredstate.edu/"
"", "CORQ", "", "",
"", "Microsoft Teams", "Chat application to communicate with Alfred State faculty and students", "https://teams.microsoft.com/v2/"
"", "Order Books", "View and purchase textbooks for your classes", "https://banner.alfredstate.edu/BannerExtensibility/customPage/page/alf_bookstore_auth"
"", "Formal Administrative Complaint Form", "PDF form for filing administrative complaints", "https://www.alfredstate.edu/sites/default/files/2025-12/administrative-complaint-form.pdf"
"", "LinkedIn Learning", "Get educational resources for free using your Alfred State email", "https://www.linkedin.com/learning-login/"
"", "Apply To Graduate", "", "https://federation.ngwebsolutions.com/sp/ACS.saml2"
"", "Commencement Ceremony Information", "", "https://www.alfredstate.edu/commencement"
"", "Pay Commencement Fee", "", "https://federation.ngwebsolutions.com/sp/startSSO.ping?PartnerIdpId=https://sts.windows.net/9847450c-4365-4e32-b26e-b73baa0ea04b/&SpSessionAuthnAdapterId=alfredstateDF&TargetResource=https%3a%2f%2fdynamicforms.ngwebsolutions.com%2fSubmit%2fStart%2fd52b16b1-4cf0-4e7c-9846-41289bcfb807"
"", "Hinkle Library", "Search and request books from the library", "https://library.alfredstate.edu/c.php?g=372677"
